Fold,Alpha,kNN,Clase,Accuracy,Presicion,Recall,F1_score
5,21,8,5,0.993903167962,0.96437994723,0.96821192053,0.966292134831
5,21,8,6,0.996413628213,0.972651605232,0.991515151515,0.981992797119
5,21,8,7,0.99426180514,0.9715261959,0.973744292237,0.972633979475
5,21,8,8,0.992707710699,0.969849246231,0.954264524104,0.96199376947
5,21,8,9,0.989360430365,0.93875147232,0.955635491607,0.947118241236
5,21,8,average,0.994405260012,0.971910066087,0.97177083766,0.971800089988
5,22,2,0,0.998325959584,0.990314769976,0.992718446602,0.991515151515
5,22,2,1,0.998086810953,0.988272921109,0.994635193133,0.991443850267
5,22,2,2,0.995336601698,0.978313253012,0.974789915966,0.976548406494
5,22,2,3,0.990912352027,0.961403508772,0.950289017341,0.955813953488
5,22,2,4,0.993782135597,0.971428571429,0.964241676942,0.967821782178
5,22,2,5,0.993542986966,0.966666666667,0.961538461538,0.964095744681
5,22,2,6,0.996651919168,0.976105137395,0.990303030303,0.983152827918
5,22,2,7,0.993782135597,0.969248291572,0.971461187215,0.970353477765
5,22,2,8,0.992108095181,0.964956195244,0.953028430161,0.958955223881
5,22,2,9,0.988401291403,0.936094674556,0.948441247002,0.942227516379
5,22,2,average,0.994093028817,0.970280398973,0.97014466062,0.970192793457
5,22,3,0,0.998444790047,0.991504854369,0.992709599028,0.992106860959
5,22,3,1,0.997607369303,0.985122210414,0.993569131833,0.989327641409
5,22,3,2,0.99557363321,0.978313253012,0.977135980746,0.977724262492
5,22,3,3,0.991865055629,0.970518867925,0.950346420323,0.96032672112
5,22,3,4,0.994377317861,0.978723404255,0.963054187192,0.970825574178
5,22,3,5,0.994496949396,0.969455511288,0.969455511288,0.969455511288
5,22,3,6,0.996889580093,0.976133651551,0.992718446602,0.984356197353
5,22,3,7,0.994377317861,0.973744292237,0.972633979475,0.973188819167
5,22,3,8,0.993898791721,0.9725,0.964064436183,0.968263845675
5,22,3,9,0.990070582606,0.941176470588,0.960384153661,0.950683303624
5,22,3,average,0.994760138773,0.973719251564,0.973607184633,0.973625873727
5,22,4,0,0.998326159732,0.990303030303,0.992709599028,0.991504854369
5,22,4,1,0.997967479675,0.986184909671,0.995708154506,0.990923651895
5,22,4,2,0.995456719273,0.977135980746,0.977135980746,0.977135980746
5,22,4,3,0.991869918699,0.970518867925,0.950346420323,0.96032672112
5,22,4,4,0.99450023912,0.977528089888,0.965474722565,0.971464019851
5,22,4,5,0.994380679101,0.96949602122,0.96821192053,0.968853545394
5,22,4,6,0.996891439503,0.976133651551,0.992718446602,0.984356197353
5,22,4,7,0.994380679101,0.972633979475,0.973744292237,0.973188819167
5,22,4,8,0.993424198948,0.9725,0.959309494451,0.965859714463
5,22,4,9,0.989956958393,0.942285041225,0.958083832335,0.950118764846
5,22,4,average,0.994715447154,0.9734719572,0.973344286332,0.97337322692
5,22,5,0,0.998326959847,0.989130434783,0.993932038835,0.991525423729
5,22,5,1,0.997609942639,0.984110169492,0.994646680942,0.989350372737
5,22,5,2,0.995339388145,0.979418886199,0.973525872443,0.976463488232
5,22,5,3,0.991873804971,0.971698113208,0.94930875576,0.960372960373
5,22,5,4,0.994861376673,0.98,0.966707768187,0.973308504035
5,22,5,5,0.994383365201,0.96949602122,0.96821192053,0.968853545394
5,22,5,6,0.997012428298,0.977299880526,0.992718446602,0.984948826008
5,22,5,7,0.994383365201,0.97052154195,0.976054732041,0.973280272882
5,22,5,8,0.99318833652,0.971214017522,0.958024691358,0.964574269733
5,22,5,9,0.989722753346,0.94,0.958033573141,0.94893111639
5,22,5,average,0.994670172084,0.97328890649,0.973116447984,0.973160877951
5,22,6,0,0.998326559885,0.989130434783,0.993932038835,0.991525423729
5,22,6,1,0.997609371265,0.984076433121,0.994635193133,0.989327641409
5,22,6,2,0.995338273966,0.978287092883,0.974759615385,0.976520168573
5,22,6,3,0.9918718623,0.970553592462,0.950403690888,0.960372960373
5,22,6,4,0.994621085345,0.979974968711,0.964285714286,0.972067039106
5,22,6,5,0.994023428162,0.968169761273,0.965608465608,0.966887417219
5,22,6,6,0.996892182644,0.977299880526,0.991515151515,0.984356197353
5,22,6,7,0.994621085345,0.971655328798,0.977194982896,0.974417282547
5,22,6,8,0.993425770978,0.971214017522,0.960396039604,0.965774735532
5,22,6,9,0.989720296438,0.940968122786,0.956782713085,0.94880952381
5,22,6,average,0.994644991633,0.973132963286,0.972951360524,0.973005838965
5,22,7,0,0.998207028448,0.990314769976,0.991515151515,0.990914597214
5,22,7,1,0.997370308391,0.983032873807,0.993569131833,0.988272921109
5,22,7,2,0.995099211093,0.977080820265,0.973557692308,0.975316074654
5,22,7,3,0.99223045661,0.971764705882,0.952710495963,0.962143273151
5,22,7,4,0.994382022472,0.979924717691,0.961822660099,0.970789310131
5,22,7,5,0.994142959598,0.965699208443,0.969536423841,0.967614011897
5,22,7,6,0.997250776954,0.978468899522,0.993924665857,0.986136226643
5,22,7,7,0.994023428162,0.970420932878,0.972633979475,0.9715261959
5,22,7,8,0.993306239541,0.97355163728,0.956683168317,0.965043695381
5,22,7,9,0.989242170691,0.935597189696,0.958033573141,0.946682464455
5,22,7,average,0.994525460196,0.972585575544,0.972398694235,0.972443877053
5,22,8,0,0.998445533899,0.992718446602,0.991515151515,0.992116434203
5,22,8,1,0.997488939376,0.983050847458,0.994640943194,0.988811933937
5,22,8,2,0.995456176013,0.979443772672,0.974729241877,0.977080820265
5,22,8,3,0.992227669497,0.97062279671,0.953810623557,0.962143273151
5,22,8,4,0.994738730121,0.981179422836,0.964241676942,0.97263681592
5,22,8,5,0.994140858544,0.964473684211,0.970860927152,0.967656765677
5,22,8,6,0.996771493483,0.976133651551,0.991515151515,0.983764281419
5,22,8,7,0.994380007174,0.972665148064,0.973774230331,0.973219373219
5,22,8,8,0.99318426402,0.972292191436,0.956629491945,0.964397251718
5,22,8,9,0.989597034557,0.938823529412,0.957983193277,0.948306595365
5,22,8,average,0.994643070668,0.973140349095,0.972970063131,0.973013354487
5,23,2,0,0.998207456979,0.990303030303,0.991504854369,0.990903577926
5,23,2,1,0.997968451243,0.988272921109,0.993569131833,0.990913949759
5,23,2,2,0.99569789675,0.979518072289,0.977163461538,0.978339350181
5,23,2,3,0.990798279159,0.962573099415,0.948156682028,0.955310504933
5,23,2,4,0.993905353728,0.971464019851,0.965474722565,0.968460111317
5,23,2,5,0.99318833652,0.965333333333,0.958940397351,0.962126245847
5,23,2,6,0.997012428298,0.978468899522,0.991515151515,0.984948826008
5,23,2,7,0.99378585086,0.971428571429,0.96921322691,0.970319634703
5,23,2,8,0.992471319312,0.965087281796,0.95673671199,0.960893854749
5,23,2,9,0.988408221797,0.933019976498,0.952038369305,0.942433234421
5,23,2,average,0.994144359465,0.970546920554,0.97043127094,0.970464928985
5,23,3,0,0.998804113848,0.992718446602,0.995133819951,0.993924665857
5,23,3,1,0.997727816312,0.986184909671,0.993576017131,0.989866666667
5,23,3,2,0.995455632624,0.977163461538,0.977163461538,0.977163461538
5,23,3,3,0.992107151399,0.970588235294,0.952655889145,0.961538461538
5,23,3,4,0.994379335087,0.976309226933,0.965474722565,0.970861748295
5,23,3,5,0.994379335087,0.969455511288,0.968169761273,0.968812209688
5,23,3,6,0.997010284621,0.977299880526,0.992718446602,0.984948826008
5,23,3,7,0.994379335087,0.973744292237,0.972633979475,0.973188819167
5,23,3,8,0.994140157857,0.97619047619,0.962917181706,0.969508400747
5,23,3,9,0.989715379096,0.939929328622,0.957983193277,0.94887039239
5,23,3,average,0.994809854102,0.97395837689,0.973842647266,0.97386836519
5,23,4,0,0.998445719751,0.990314769976,0.993924665857,0.992116434203
5,23,4,1,0.998087039694,0.987234042553,0.995708154506,0.991452991453
5,23,4,2,0.996054519369,0.980722891566,0.979542719615,0.980132450331
5,23,4,3,0.992587278814,0.974087161366,0.953863898501,0.963869463869
5,23,4,4,0.994739359158,0.978776529338,0.966707768187,0.97270471464
5,23,4,5,0.99450023912,0.970783532537,0.96821192053,0.96949602122
5,23,4,6,0.996891439503,0.977299880526,0.991515151515,0.984356197353
5,23,4,7,0.99450023912,0.974828375286,0.972602739726,0.973714285714
5,23,4,8,0.993782879005,0.971357409714,0.964153275649,0.967741935484
5,23,4,9,0.989956958393,0.94124559342,0.959281437126,0.950177935943
5,23,4,average,0.994954567193,0.974665018628,0.974551173121,0.974576243021
5,23,5,0,0.998207456979,0.989130434783,0.992727272727,0.990925589837
5,23,5,1,0.997968451243,0.987234042553,0.994640943194,0.990923651895
5,23,5,2,0.995219885277,0.977135980746,0.974789915966,0.975961538462
5,23,5,3,0.992471319312,0.974025974026,0.952655889145,0.963222416813
5,23,5,4,0.994861376673,0.978776529338,0.967901234568,0.973308504035
5,23,5,5,0.994144359465,0.966974900925,0.968253968254,0.967614011897
